Normalized_CFO,CFO_Hz,Est_CFO_Hz,CFO_Error_Hz,Uncomp_BER,Uncomp_EVM_Percent,Comp_BER,Comp_EVM_Percent
0,0,-8.67157,8.67157,0,7.68322,0,13.5812
0.02,300,288.537,11.4628,0.467133,137.023,0,16.6656
0.05,750,746.232,3.76773,0.523267,145.467,0,9.09992
0.08,1200,1206.74,6.7367,0.486167,139.01,0,11.643
0.1,1500,1495.51,4.49247,0.487167,140.006,0,9.65369
0.15,2250,2247.16,2.84138,0.4976,141.281,0,8.53662
0.2,3000,2997.02,2.97831,0.5083,142.682,0,8.57432
0.25,3750,3756.16,6.16289,0.4965,140.861,0,11.0808
0.3,4500,4495.88,4.12175,0.4939,141.241,0,9.37496
0.35,5250,5251.38,1.37957,0.5059,142.106,0,7.8728
0.4,6000,5997.15,2.85302,0.498033,141.436,0,8.51001
