I,Q
-0.736092,-0.766613
-0.748574,0.697834
-0.681717,0.729786
-0.666666,0.69904
0.743683,0.70311
0.679863,-0.612308
-0.723815,-0.661682
-0.757775,-0.574899
-0.762486,0.67099
0.644517,0.668712
-0.644955,0.641979
0.658687,0.746533
0.605569,0.718287
-0.691527,0.646181
-0.692142,0.749067
-0.78175,0.708864
-0.710933,-0.599747
0.775936,-0.757129
-0.711057,0.711229
0.695614,0.620064
-0.587124,0.705015
-0.68009,0.694047
0.635763,-0.735657
0.614896,0.671293
-0.683345,0.751283
0.656429,0.746583
0.720148,-0.722077
0.718211,0.692295
-0.676175,-0.707848
-0.653489,-0.751405
-0.819237,0.677171
-0.745146,0.630891
0.726001,0.696244
0.682083,-0.674083
0.701862,-0.757772
0.767383,-0.589351
-0.648828,-0.609155
-0.713879,-0.706021
-0.660686,-0.727195
0.763696,-0.776253
0.694043,0.652417
-0.705827,-0.761345
0.788492,0.68667
-0.629507,-0.676269
-0.721243,-0.600937
0.721443,0.678211
-0.673891,-0.695916
0.676235,-0.672104
-0.64734,0.705629
-0.727449,0.638122
-0.725136,0.677742
0.765172,-0.732047
0.687025,0.794566
-0.768554,0.787007
-0.671822,-0.690975
0.650319,-0.683609
-0.705275,-0.753155
0.659691,0.673063
-0.736632,-0.681009
-0.718981,-0.752298
0.642484,0.758684
0.705623,0.669748
0.749991,-0.653088
0.65651,0.592514
-0.662238,0.78046
0.703167,-0.594396
-0.686164,-0.682754
-0.809742,0.820137
-0.720507,0.682905
0.670214,-0.62411
0.731625,0.725179
0.714006,-0.696144
0.781557,-0.599442
0.773499,-0.808832
0.561161,0.813815
0.678684,-0.764376
-0.618188,-0.784451
-0.69419,-0.709785
0.673939,-0.776486
0.736681,0.676889
-0.705337,0.744526
0.684785,0.720383
0.664373,0.604513
-0.646444,-0.729148
-0.618158,0.677435
0.659999,0.709592
0.780719,0.740488
0.624391,0.751733
-0.717595,0.804225
-0.626681,0.696633
-0.701648,0.626194
0.721266,0.786224
-0.631223,0.660124
0.714003,-0.684663
-0.714272,0.675286
0.665222,-0.769961
-0.727768,0.739924
0.749989,-0.691314
-0.694375,0.634399
-0.637596,0.78983
0.775387,0.676673
-0.831744,0.878224
-0.772115,0.742562
0.645075,0.685228
0.724354,0.785383
0.703031,-0.799424
0.778048,0.721932
0.755275,0.662156
0.671676,0.684384
0.727393,-0.655201
