I,Q
-0.590001,-0.855991
-1.01566,0.594271
-0.83494,0.5377
-0.674813,0.464747
0.625851,0.826021
0.78231,-0.483584
-0.589579,-0.84806
-0.559503,-0.570173
-0.868626,0.642841
0.427575,0.992449
-0.779625,0.458412
0.42964,0.973217
0.210072,0.807142
-0.971814,0.253494
-0.863525,0.349115
-0.80643,0.214113
-0.184329,-0.8914
1.0809,-0.317265
-0.873994,0.554796
0.506447,0.836042
-0.754591,0.380303
-0.625855,0.303248
1.05748,-0.473768
0.336244,0.86239
-0.792983,0.379835
0.569783,0.73808
0.971018,-0.593514
0.319685,0.697421
-0.474616,-1.12069
-0.371874,-0.893279
-0.916904,0.424644
-0.620327,0.304888
0.766274,0.723823
1.04725,-0.636801
0.946298,-0.601038
0.788018,-0.406309
-0.528229,-0.887696
-0.400818,-0.895644
-0.217836,-0.781572
1.0578,-0.241689
0.318569,0.912838
-0.434146,-0.911827
0.460726,0.940107
-0.425412,-0.908018
-0.414462,-0.64468
0.461656,0.96027
-0.376536,-0.869688
0.78904,-0.195657
-0.986324,0.596344
-0.84345,0.40609
-0.670005,0.37608
1.14249,-0.357289
0.292585,1.00745
-0.972377,0.286181
-0.174388,-0.990481
0.945175,-0.386246
-0.362888,-0.797562
0.430459,0.942572
-0.411699,-0.882225
-0.23932,-0.676292
0.521702,1.19775
0.547248,0.886845
0.930493,-0.314728
0.273177,0.836856
-0.884918,0.401635
0.880355,-0.403269
-0.504515,-0.780267
-0.967347,0.629267
-0.593651,0.393779
1.14776,-0.29713
0.603165,0.925249
1.03182,-0.483943
0.956762,-0.262941
0.910365,-0.363129
0.132533,0.97641
0.748021,-0.576809
-0.470186,-0.888242
-0.384904,-0.669262
0.880865,-0.114716
0.253523,1.19459
-0.996811,0.62651
0.409463,1.01833
0.291681,0.750378
-0.484126,-0.825865
-0.784375,0.675012
0.441079,1.05682
0.40216,1.02066
0.123098,0.886438
-1.10108,0.438353
-0.809932,0.392223
-0.721695,0.333853
0.509221,0.914046
-0.705475,0.224775
0.97234,-0.464796
-0.857416,0.352021
0.928097,-0.474436
-0.912877,0.487033
0.947186,-0.31121
-0.946384,0.499805
-0.728124,0.627163
0.57624,0.936789
-1.01461,0.505603
-0.66263,0.43028
0.716681,0.847106
0.660381,0.838218
1.08953,-0.557408
0.543883,0.981869
0.542564,0.786484
0.467218,0.676391
0.930289,-0.471122
0.404747,0.801931
0.368572,0.692447
0.399652,0.650296
0.294657,0.50598
-0.398791,-1.25835
1.01282,-0.466814
0.741474,-0.529266
-0.985559,0.417474
-0.434872,-0.879692
0.51099,0.770891
-0.383737,-1.07167
0.883119,-0.500815
-0.302567,-0.799538
0.99314,-0.0833513
0.296574,1.07025
0.847924,-0.437044
-0.562111,-0.664397
0.384944,1.20038
0.407073,0.966527
0.424492,0.91755
0.318881,0.703252
0.195901,0.71433
0.145552,0.598204
-1.0388,-0.012214
-0.504396,-1.17758
-0.81508,0.251398
0.973917,-0.743081
-0.294594,-1.07534
0.978268,-0.474224
0.905866,-0.427451
-0.583161,-1.00814
0.731529,-0.304928
-0.546658,-0.747451
-1.00309,0.496672
-0.713067,0.410945
1.13139,-0.447118
0.747052,-0.387086
-1.01045,0.4583
0.846579,-0.393844
-0.97923,0.439389
0.571618,0.934872
0.756392,-0.363591
0.23971,0.978404
0.129139,0.910758
-1.13892,0.197255
-0.963288,0.259797
-0.473148,-0.962575
-0.895966,0.442195
0.466574,0.793056
-0.929936,0.062707
0.901085,-0.656628
-0.603243,-0.907387
-0.999096,0.339881
-0.375835,-1.00026
-0.747038,0.363229
-0.237847,-0.939155
0.990025,-0.33641
0.30931,0.870622
-0.559283,-0.965971
-0.878107,0.393358
-0.390693,-0.936925
-0.716339,0.379238
1.05568,-0.446198
-0.83601,0.314076
1.10863,-0.326791
0.384055,0.861099
-0.397486,-0.99077
0.974778,-0.349744
-0.905019,0.37373
0.87722,-0.351459
-0.958768,0.417552
-0.217891,-0.7587
0.440329,0.981221
-0.831235,0.41763
-0.711621,0.235746
1.13773,-0.532673
0.845755,-0.522532
-0.436598,-0.774707
0.90652,-0.199099
0.29615,1.05158
0.226553,0.902037
-0.895215,0.367959
0.444598,0.716997
0.807239,-0.615101
-0.555251,-0.862378
0.362271,0.842125
-0.414356,-0.937769
-0.399553,-0.821674
0.974642,-0.238353
0.27933,0.960772
-0.564649,-0.887833
0.417955,1.10864
0.197682,0.887191
-1.03084,0.286482
-0.877767,0.3175
-0.757957,0.333373
0.982717,-0.526989
-0.307468,-0.79983
0.3406,1.02225
0.815692,-0.514846
0.159916,1.05469
-1.17972,0.251785
-0.904844,0.316114
-0.832436,0.185972
-0.241058,-1.02411
-0.21225,-0.778686
-0.625886,0.703972
0.641066,0.98094
0.493181,0.82392
0.383983,0.705441
-0.920198,0.226831
0.488178,0.610867
0.83676,-0.76046
-0.467967,-1.15394
-0.378062,-0.943964
-0.280585,-0.895858
0.449694,0.906431
-0.730144,0.290225
1.09275,-0.516307
0.904432,-0.493451
0.704473,-0.543158
-0.589003,-1.00386
-0.446415,-0.921198
-0.321411,-0.78271
0.890992,-0.362111
0.710966,-0.158041
-0.943019,0.474913
-0.369342,-0.790898
0.41906,0.934029
-0.456588,-0.926538
0.935822,-0.321822
-0.944869,0.52293
0.458114,0.91544
0.757073,-0.524818
-0.579656,-0.958059
-0.996137,0.545267
-0.84531,0.372359
-0.317575,-0.884044
-0.735808,0.455724
-0.23875,-0.873704
-0.618974,0.584938
1.12205,-0.417562
0.991865,-0.253105
0.402171,0.965373
0.84809,-0.349219
-0.845235,0.58927
0.566987,0.876482
0.879381,-0.465735
-0.904867,0.468005
0.611491,0.84952
0.940481,-0.303725
0.363042,0.881007
0.313432,0.810539
0.633412,-0.576425
-1.01256,0.340059
-0.382565,-1.02465
0.8503,-0.312432
-0.524668,-0.601776
0.3552,1.11601
-1.06582,0.414885
-0.749793,0.338869
0.534214,0.922207
-0.862715,0.330927
-0.600773,0.263636
1.15609,-0.508082
