Slot,Time_sec,Actual_Doppler_Hz,Tracked_Doppler_Hz,Estimation_Error_Hz,Uncomp_BER,Comp_BER,Uncomp_EVM,Comp_EVM
0,-5,3172.56,3171.23,1.33332,0.138571,0,61.6126,9.79568
1,-4.999,3171.93,3108.99,62.9401,0.5,0,145.334,9.94466
2,-4.998,3171.3,3195.49,24.1946,0.909762,0,193.19,18.6166
3,-4.997,3170.67,3211.46,40.7899,0.819762,0,188.299,15.7162
4,-4.996,3170.04,3191.98,21.9451,0.499405,0,132.607,9.96426
5,-4.99501,3169.41,3176.33,6.92224,0.0545238,0,48.1282,11.6556
6,-4.99401,3168.77,3149.16,19.618,0.203929,0,73.2393,15.23
7,-4.99301,3168.14,3172.94,4.79283,0.50131,0,152.989,17.6916
8,-4.99201,3167.51,3179.41,11.9032,0.957738,0,195.021,17.8842
9,-4.99101,3166.88,3182.19,15.3085,0.785952,0,186.076,25.246
10,-4.99001,3166.25,3134.16,32.0844,0.498095,0,129.077,32.2618
11,-4.98901,3165.62,3137.28,28.3393,0.0402381,0,45.9802,20.1812
12,-4.98801,3164.99,3159.75,5.24029,0.202738,0,73.0679,11.7701
13,-4.98701,3164.35,3175.43,11.0777,0.500595,0,151.878,15.0043
14,-4.98601,3163.72,3171.44,7.71858,0.943571,0,194.607,21.4967
15,-4.98502,3163.09,3158.11,4.98233,0.821786,0,188.267,34.5702
16,-4.98402,3162.46,3170.77,8.30698,0.5,0,135.699,40.7296
17,-4.98302,3161.83,3160.77,1.05657,0.0936905,0,54.7317,43.0522
18,-4.98202,3161.2,3136.24,24.9588,0.134762,0.000119048,61.1614,47.1586
19,-4.98102,3160.57,3164.25,3.67827,0.5,0,140.799,37.0005
20,-4.98002,3159.94,3194.65,34.7162,0.85131,0,190.05,39.9905
21,-4.97902,3159.3,3162.48,3.17895,0.928214,0,193.753,47.9694
22,-4.97802,3158.67,3153.68,4.99394,0.500238,0,151.531,40.6114
23,-4.97702,3158.04,3178.85,20.8099,0.22369,0,75.8839,40.1224
24,-4.97602,3157.41,3142.53,14.8803,0.00702381,0,39.6701,43.3225
25,-4.97503,3156.78,3156.53,0.247473,0.476429,0,118.54,43.4454
26,-4.97403,3156.15,3152.36,3.78894,0.685238,0,178.586,40.3019
27,-4.97303,3155.52,3102.47,53.047,1,0,198.077,36.698
28,-4.97203,3154.88,3130.74,24.1405,0.617262,0,172.451,27.1368
29,-4.97103,3154.25,3139.69,14.563,0.427143,0,108.905,24.0984
