Time_sec,Doppler_Hz,DopplerRate_Hz_per_sec
-300,48769.5,-10.6287
-298,48748,-10.8298
-296,48726.1,-11.0359
-294,48703.9,-11.2473
-292,48681.1,-11.4639
-290,48658,-11.686
-288,48634.4,-11.9138
-286,48610.3,-12.1475
-284,48585.8,-12.3872
-282,48560.8,-12.6331
-280,48535.3,-12.8854
-278,48509.2,-13.1443
-276,48482.7,-13.4101
-274,48455.6,-13.6829
-272,48427.9,-13.963
-270,48399.7,-14.2507
-268,48370.9,-14.5461
-266,48341.5,-14.8496
-264,48311.5,-15.1614
-262,48280.9,-15.4818
-260,48249.6,-15.811
-258,48217.6,-16.1494
-256,48185,-16.4973
-254,48151.6,-16.8551
-252,48117.6,-17.223
-250,48082.7,-17.6014
-248,48047.2,-17.9906
-246,48010.8,-18.3912
-244,47973.6,-18.8034
-242,47935.6,-19.2276
-240,47896.7,-19.6644
-238,47856.9,-20.1141
-236,47816.2,-20.5773
-234,47774.6,-21.0543
-232,47732,-21.5458
-230,47688.4,-22.0522
-228,47643.8,-22.5742
-226,47598.1,-23.1122
-224,47551.3,-23.6669
-222,47503.4,-24.2389
-220,47454.3,-24.8289
-218,47404.1,-25.4376
-216,47352.6,-26.0656
-214,47299.8,-26.7137
-212,47245.7,-27.3828
-210,47190.2,-28.0735
-208,47133.4,-28.7869
-206,47075.1,-29.5236
-204,47015.3,-30.2848
-202,46953.9,-31.0713
-200,46891,-31.8843
-198,46826.4,-32.7246
-196,46760.1,-33.5935
-194,46692,-34.4921
-192,46622.1,-35.4217
-190,46550.3,-36.3835
-188,46476.5,-37.3788
-186,46400.7,-38.4091
-184,46322.8,-39.4758
-182,46242.8,-40.5804
-180,46160.5,-41.7246
-178,46075.9,-42.9101
-176,45988.8,-44.1385
-174,45899.3,-45.4118
-172,45807.2,-46.7319
-170,45712.3,-48.1007
-168,45614.7,-49.5206
-166,45514.2,-50.9936
-164,45410.7,-52.5221
-162,45304.1,-54.1085
-160,45194.2,-55.7555
-158,45081,-57.4657
-156,44964.3,-59.2419
-154,44844,-61.0871
-152,44719.9,-63.0044
-150,44591.9,-64.9971
-148,44459.9,-67.0685
-146,44323.6,-69.2222
-144,44182.9,-71.462
-142,44037.7,-73.7917
-140,43887.7,-76.2155
-138,43732.8,-78.7376
-136,43572.7,-81.3626
-134,43407.3,-84.0952
-132,43236.2,-86.9401
-130,43059.4,-89.9027
-128,42876.5,-92.9882
-126,42687.4,-96.2023
-124,42491.6,-99.5506
-122,42289.1,-103.039
-120,42079.4,-106.675
-118,41862.3,-110.464
-116,41637.4,-114.413
-114,41404.5,-118.53
-112,41163.2,-122.821
-110,40913.1,-127.294
-108,40653.9,-131.957
-106,40385.1,-136.819
-104,40106.5,-141.887
-102,39817.5,-147.17
-100,39517.6,-152.676
-98,39206.6,-158.416
-96,38883.8,-164.396
-94,38548.8,-170.627
-92,38201.1,-177.119
-90,37840.2,-183.878
-88,37465.4,-190.916
-86,37076.3,-198.241
-84,36672.3,-205.861
-82,36252.7,-213.785
-80,35816.9,-222.021
-78,35364.4,-230.576
-76,34894.4,-239.456
-74,34406.3,-248.667
-72,33899.5,-258.215
-70,33373.3,-268.102
-68,32826.9,-278.33
-66,32259.7,-288.9
-64,31671.1,-299.81
-62,31060.2,-311.056
-60,30426.6,-322.631
-58,29769.5,-334.526
-56,29088.3,-346.729
-54,28382.4,-359.223
-52,27651.2,-371.99
-50,26894.3,-385.006
-48,26111.1,-398.243
