epsilon,frequency_offset_hz,empirical_cir_db,analytical_cir_db
0.0000,0.0000,120.0000,100.0000
0.0100,150.0000,34.8274,34.8282
0.0200,300.0000,28.8042,28.8076
0.0300,450.0000,25.2781,25.2858
0.0400,600.0000,22.7733,22.7870
0.0500,750.0000,20.8274,20.8488
0.0600,900.0000,19.2343,19.2652
0.0700,1050.0000,17.8841,17.9263
0.0800,1200.0000,16.7114,16.7664
0.0900,1350.0000,15.6736,15.7434
0.1000,1500.0000,14.7420,14.8282
0.1100,1650.0000,13.8959,14.0004
0.1200,1800.0000,13.1201,13.2446
0.1300,1950.0000,12.4031,12.5493
0.1400,2100.0000,11.7357,11.9057
0.1500,2250.0000,11.1110,11.3064
0.1600,2400.0000,10.5231,10.7458
0.1700,2550.0000,9.9673,10.2192
0.1800,2700.0000,9.4397,9.7228
0.1900,2850.0000,8.9371,9.2531
0.2000,3000.0000,8.4566,8.8076
0.2100,3150.0000,7.9958,8.3838
0.2200,3300.0000,7.5529,7.9798
0.2300,3450.0000,7.1258,7.5937
0.2400,3600.0000,6.7131,7.2240
0.2500,3750.0000,6.3134,6.8694
0.2600,3900.0000,5.9255,6.5287
0.2700,4050.0000,5.5483,6.2009
0.2800,4200.0000,5.1808,5.8851
0.2900,4350.0000,4.8222,5.5803
0.3000,4500.0000,4.4715,5.2858
