residual_eps,raw_evm_pct,derotated_evm_pct,equalized_evm_pct,raw_ber,derotated_ber,equalized_ber
0.0100,53.4719,5.5921,4.4355,1.6900e-01,0.0000e+00,0.0000e+00
0.0200,99.7731,8.4382,4.8681,3.2504e-01,0.0000e+00,0.0000e+00
0.0300,133.8122,11.6974,5.4573,4.0704e-01,0.0000e+00,0.0000e+00
0.0400,152.2684,15.0729,6.2148,4.3776e-01,7.1429e-05,0.0000e+00
0.0500,156.1506,18.5056,7.0747,4.5707e-01,1.6667e-03,0.0000e+00
0.0600,148.7431,22.0946,7.9932,4.4948e-01,1.0810e-02,0.0000e+00
0.0700,138.3339,25.5395,8.9477,3.9620e-01,2.8786e-02,0.0000e+00
0.0800,131.9240,29.0409,9.9266,3.8820e-01,5.2476e-02,0.0000e+00
0.0900,134.7963,32.5047,11.0473,4.0129e-01,7.7226e-02,2.3810e-05
0.1000,141.8445,36.1576,12.2004,4.1944e-01,1.0273e-01,4.7619e-05
