subcarrier_offset,power_eps_000,power_eps_005,power_eps_015,power_eps_030
-8,0,3.82936e-05,0.000314659,0.000963463
-7,0,4.99181e-05,0.000408752,0.00124526
-6,0,6.77726e-05,0.000552395,0.00167167
-5,0,9.72571e-05,0.000787633,0.00236166
-4,0,0.000151197,0.00121281,0.0035874
-3,0,0.000266573,0.00210488,0.00609042
-2,0,0.000590038,0.00451796,0.0125369
-1,0,0.00224902,0.0157908,0.0392408
0,1,0.991802,0.928136,0.736841
1,0,0.00274741,0.0289041,0.135339
2,0,0.000652104,0.00610195,0.0229474
3,0,0.00028495,0.00257127,0.00909762
4,0,0.000158948,0.00140914,0.00484492
5,0,0.000101225,0.000888052,0.0030029
6,0,7.00687e-05,0.000610476,0.00204194
7,0,5.1364e-05,0.000445316,0.00147812
8,0,3.92623e-05,0.000339149,0.00111933
